obstacle_density,radius_setting,test_case_num,source,destination,path_found_yours,path_length_yours,time_yours,nodes_yours,path_found_baseline,path_length_baseline,time_baseline,nodes_baseline,pvi,path_inflation_ratio,ssr
50,tight,81,3490991238,10115884297,True,8058.700280693966,3.3123841285705566,3357,True,8058.700280693966,0.0146331787109375,8191,0.0,1.0,59.01599316322793
50,tight,82,1832594075,3489257082,True,8776.587617349729,14.206302881240845,14027,True,8776.587617349729,0.06557011604309082,35451,0.0,1.0,60.432709937660434
50,tight,83,1480927624,2191994431,True,7288.444750610051,10.90246295928955,10815,True,6775.2128029039795,0.04163694381713867,22801,0.0,1.0757514136657216,52.567869830270595
50,tight,84,2355854521,1957364523,True,17858.893436884995,25.3564670085907,23884,True,17343.716006890703,0.11233210563659668,61322,1.6399032688910333,1.0297039821102705,61.05149864648902
50,tight,85,1280126363,12065060516,True,6063.196160621049,9.355170249938965,8907,True,5032.852216051462,0.03689980506896973,20996,3.260753133620108,1.2047236637077228,57.577633835016194
50,tight,86,1275274775,2169447682,False,0,30.642211198806763,28926,True,5160.743235545743,0.03633928298950195,14725,-1,-1,-96.44142614601019
50,tight,87,1835495789,5450241679,True,6589.661233572702,13.003353118896484,12706,True,6589.661233572702,0.05775284767150879,32150,0.0,1.0,60.47900466562985
50,tight,88,5042508097,3488665239,True,2350.477053614569,0.9289910793304443,985,True,2350.477053614569,0.003834962844848633,2292,0.0,1.0,57.02443280977312
50,tight,89,3498388295,1124354329,True,5962.692084227136,7.060282945632935,7019,True,5764.636858519826,0.02990412712097168,16791,0.0,1.0343569301186066,58.19784408313977
50,tight,90,1979266939,11347926989,True,3986.371998713856,4.041879892349243,4077,True,3986.371998713856,0.01800227165222168,10156,0.0,1.0,59.85624261520284
50,tight,91,1273478057,11052131865,True,5521.517183224158,11.299866199493408,11147,True,5521.517183224158,0.05236101150512695,28855,0.0,1.0,61.368913533183154
50,tight,92,6098737553,3824958181,True,7842.25792345377,15.406883001327515,15430,True,7842.25792345377,0.07011795043945312,38775,0.0,1.0,60.20631850419085
50,tight,93,12323021593,12854763032,True,9099.711875562929,17.2261061668396,16691,True,9099.711875562929,0.07818198204040527,42088,0.0,1.0,60.34261547234367
50,tight,94,2115566297,1950493587,True,3939.679454469247,3.4762561321258545,3467,True,3939.679454469247,0.015249967575073242,8705,3.0976676634740494,1.0,60.17231476163125
50,tight,95,3490877304,11850627647,True,7752.258075303861,5.534924030303955,5641,True,7752.258075303861,0.025636911392211914,14261,1.8823492959343406,1.0,60.44456910455087
50,tight,96,3318269307,3144158732,True,4104.534268239499,0.9067678451538086,941,True,4104.534268239499,0.003874063491821289,2219,0.0,1.0,57.593510590356026
50,tight,97,1931372210,1832349710,True,6917.771336875828,10.30474305152893,9784,True,6917.771336875828,0.046504974365234375,25413,0.0,1.0,61.500019674969494
50,tight,98,6290088001,6072430239,True,11162.64894542082,18.117835998535156,17825,True,11162.64894542082,0.08579182624816895,45631,0.0,1.0,60.936643948193115
50,tight,99,2516868263,10636203372,True,3768.2669295074934,1.8556857109069824,1927,True,3768.2669295074934,0.00848698616027832,4720,0.0,1.0,59.17372881355932
50,tight,100,2303826373,9469153932,True,4249.140824382803,6.106961250305176,6036,True,4249.140824382803,0.027158021926879883,15193,0.0,1.0,60.27117751596129
50,standard,1,3479168346,1273357595,False,0,29.36229705810547,28540,True,43152.91766419638,0.12800002098083496,71961,-1,-1,60.339628409833104
50,standard,2,2167631058,3481893581,True,23505.16123217569,24.976661920547485,24308,True,22472.053753363212,0.11502909660339355,61773,0.0,1.0459729889466762,60.6494746895893
50,standard,3,1832593795,8514323209,True,3535.912141682475,1.8826909065246582,1958,True,3535.912141682475,0.00851893424987793,4642,0.0,1.0,57.81990521327014
50,standard,4,3491107647,2236941346,True,20508.544868975237,27.00554084777832,25827,True,20391.001670862293,0.12094306945800781,67562,0.0,1.0057644641499346,61.77289008614311
50,standard,5,913498558,1835407716,True,11543.425949062115,15.021375179290771,14956,True,11543.425949062115,0.06979680061340332,38864,2.083270131598109,1.0,61.517085220255254
50,standard,6,2168022200,1835496063,True,6385.529247118542,9.608550071716309,9450,True,6385.529247118542,0.04369187355041504,24182,0.0,1.0,60.92134645604168
50,standard,7,8514323209,6094752669,True,3123.445754203857,2.535778045654297,2653,True,3123.445754203857,0.011259078979492188,6169,0.0,1.0,56.99465067271843
50,standard,8,1274031326,3479110325,True,38141.90871180438,28.62967014312744,27281,True,38141.90871180438,0.12547612190246582,70954,5.096485909401389,1.0,61.55114581278012
50,standard,9,3517744265,3487889166,True,25435.880851740367,25.446008920669556,24800,True,23559.36594958346,0.10921978950500488,62178,0.0,1.079650484065344,60.114509955289655
50,standard,10,2185027111,268301695,True,5297.457681421341,7.815755128860474,7700,True,4619.871596220789,0.03505587577819824,19716,0.0,1.1466677311453504,60.94542503550415
50,standard,11,10013324803,2169351529,True,10554.482919371245,16.57694697380066,16188,True,10152.10934614784,0.07305765151977539,40850,0.0,1.0396344798409882,60.372093023255815
50,standard,12,8794963017,10901289719,True,9094.873383307975,17.182370901107788,16986,True,9094.873383307975,0.07888197898864746,43784,0.0,1.0,61.205006395030146
